Datetime,Text,Username,Retweets,Location,Hashtags
17:12:31 13:19:40,"Tomorrow is a new day, a new week and a new year. Let’s all start 2018 full of peace and love for all! 2 most important words. #Kindness &amp; #VOTE! #Resist  #FlipTheHouse",campbell_jen,0,"Former Indy, now Seattle, WA","['Kindness', 'VOTE', 'Resist', 'FlipTheHouse']"
17:12:31 13:16:11,Does the #US #white #working #class really #vote against its #own #interests? How far will they go to #protect the #system &amp; their #race?  https://t.co/ZrF8yVtxN5,newstruthliz,0,,"['US', 'white', 'working', 'class', 'vote', 'own', 'interests', 'protect', 'system', 'race']"
17:12:31 13:15:03,"#ColumbiaUniversity, All may fully see the video, think, decide &amp; act now 4 their #prosperity @ https://t.co/GcExCSI3D3 #studyinsta #studygram  #Reference #GPA #vote #for #your #success #buy #now #a #copy #today #shopping #gift #people #holiday Retweet, Please!",vijaysharma1122,1,"Chicago, IL- West-Suburb","['ColumbiaUniversity', 'prosperity', 'studyinsta', 'studygram', 'Reference', 'GPA', 'vote', 'for', 'your', 'success', 'buy', 'now', 'a', 'copy', 'today', 'shopping', 'gift', 'people', 'holiday']"
17:12:31 13:08:01,"＼ 投稿 ＆ 投票受付中✨／

2017年に最も輝いていたアーティストやライブを勝手に表彰しちゃいます！
受付は１月８日（月）まで🎧
https://t.co/xcXRZ6lkiT
#ライブファンズ大賞
#vote",livefans,0,👇国大最大のライブ・セットリスト情報サービス,"['ライブファンズ大賞', 'vote']"
17:12:31 12:55:13,"🏆 Bientôt les meilleurs voteurs du mois gagnerons leurs récompense !
#minecraft #vote #goodcube https://t.co/ZQccRePP8e",GoodCubeFR,0,France,"['minecraft', 'vote', 'goodcube']"
17:12:31 12:46:45,"#Sport #Darts #LoveTheDarts #WHDarts #PDC #PDCWorldChampionship2018 #PDCWorldChampionships #PDCWorldChampionship #PDCWorldChampionshipFinal 
#PDCWorldChampionshipFinal2018 #PDCdarts #TAYLORvCROSS #AllyPally #Blog #Blogging #Wordpress #Vote #Poll https://t.co/1iNKzTgcWb",MattOswin,0,"Swindon, England","['Sport', 'Darts', 'LoveTheDarts', 'WHDarts', 'PDC', 'PDCWorldChampionship2018', 'PDCWorldChampionships', 'PDCWorldChampionship', 'PDCWorldChampionshipFinal', 'PDCWorldChampionshipFinal2018', 'PDCdarts', 'TAYLORvCROSS', 'AllyPally', 'Blog', 'Blogging', 'Wordpress', 'Vote', 'Poll']"
17:12:31 12:42:41,"The last chance to vote for the best #PlayStation games of 2017! More at https://t.co/orWEgBGTtg

#PlayStation4 #PlayStationVR #PlayStationVita #Sony #PS4 #PSVR #PSVita #BestOf2017 #BestGames #GameOfTheYear #vote #poll #GradersCZ https://t.co/23RBKiQhCL",GradersCZ,0,Česká republika,"['PlayStation', 'PlayStation4', 'PlayStationVR', 'PlayStationVita', 'Sony', 'PS4', 'PSVR', 'PSVita', 'BestOf2017', 'BestGames', 'GameOfTheYear', 'vote', 'poll', 'GradersCZ']"
17:12:31 12:38:56,#vote https://t.co/bXsdTewSba,Stayathomegamin,0,"Iowa, USA",['vote']
17:12:31 12:37:10,I just voted for $XRB to be listed on Binance! Come on peeps..go and #vote! #crypto #binance,Parbo24,1,,"['vote', 'crypto', 'binance']"
17:12:31 12:25:23,#Vote vote vote! Help me create the #content you like :) #photography #photo #Pictures #readmymynd https://t.co/FQCpkVZAU0,ReadMyMynd,0,"London, England","['Vote', 'content', 'photography', 'photo', 'Pictures', 'readmymynd']"
17:12:31 12:21:21,#HappyNewYear2018! #1 priority - #vote in November. 🥂👨‍👦‍👦🎼🏋🏼‍♂️🏍✈️🏝🏰🏔🏦🎥🎙🎉❤️💯🥙🍾🥋🥊🎿🚵🏽‍♂️🎸🏎🗽📵🔝😂💪🏽🕺🏾👨‍👦‍👦 https://t.co/dcKPXYCWXE,mrgregburton,0,"Philadelphia, PA","['HappyNewYear2018', 'vote']"
